,zipcode,median_household_income,majority_num_contams,mean_num_contams,median_num_contams,num_served,num_contams_exceeding_guidelines,util_name
0,20601,105899.0,5,5.2,5.0,134349,"[5, 6, 5, 6, 5, 8, 3, 6, 5, 3]","['Waldorf', 'City of Bowie', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cedarville Mobile Home Park', 'Cliffton On The Potomac']"
1,20602,93814.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
2,20603,126721.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
3,20606,101875.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
4,20607,141992.0,5,5.2,5.0,134349,"[5, 6, 5, 6, 5, 8, 3, 6, 5, 3]","['Waldorf', 'City of Bowie', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cedarville Mobile Home Park', 'Cliffton On The Potomac']"
5,20608,75313.0,6,3.6,4.0,26410,"[4, 5, 3, 6, 0]","['Calvert Manor', 'Cedarville Mobile Home Park', 'Cheltenham Boys Village', 'City of Bowie', nan]"
6,20609,124000.0,7,4.8,3.0,73704,"[7, 8, 3, 3, 3]","['Lexington Park', 'Patuxent Naval Air Station (NAVFAC-WASH)', 'Country Lakes', 'Town of Leonardtown', 'Cedar Cove']"
7,20611,117697.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
8,20612,0.0,5,5.1,5.0,109734,"[5, 5, 6, 5, 8, 3, 6, 3, 6, 4]","['Waldorf', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cliffton On The Potomac', 'Hunters Brooke/falcon Ridge Subdivision', 'Charles County Gardens Water']"
9,20613,136111.0,5,5.2,5.0,134349,"[5, 6, 5, 6, 5, 8, 3, 6, 5, 3]","['Waldorf', 'City of Bowie', 'Town of La Plata', 'Bryans Road', 'Town of Indian Head', 'Naval Support Facility, Indian Head', 'Potomac Heights', 'Swan Point', 'Cedarville Mobile Home Park', 'Cliffton On The Potomac']"
